"Type","BuyAmount","BuyCurrency","SellAmount","SellCurrency","FeeAmount","FeeCurrency","Exchange","ExchangeId","Group","Import","Comment","Date","NOKEquivalent","UpdatedAt"
"Deposit","0.09","AVAX","0","","0","AVAX","AVAX Transaction","0xa707b9771e68f05d7e781c01d3a3bf05af9df50329f05c745c65f503cc97dcbe","","avalanche","","2021-10-07T21:08:55.000Z","kr 48,73","2022-05-14T12:42:54.540Z"
"Withdrawal","0","","1.99457243","AVAX","0.01","AVAX","binance","820457f2c14b480e8d87493085c87c0b","","binance","","2021-10-07T21:12:23.000Z","","2021-11-27T15:39:21.232Z"
"Deposit","1.99457243","AVAX","0","","0","AVAX","AVAX Transaction","0x2d8db81d8b90b4cec701997a7622bd220463d694897700ae1beb21578caba81a","","avalanche","","2021-10-07T21:12:59.000Z","kr 1 079,87","2022-05-14T12:42:54.540Z"
"Trade","1.9","AVWAVAX","1.9","AVAX","0.00790665","AVAX","Aave","0xcb8db330e36c777298f5cbff2296372cd61c6f66aaf5d0d6ed2488ff8106ac52","","avalanche","","2021-10-07T21:16:03.000Z","kr 1 028,67","2022-05-14T12:42:54.540Z"
"Trade","0","USD","0.88505382","USDLOSS","0","USD","ftx","706475561-2","","ftx","","2021-10-07T22:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.88505382","USDLOSS","0.88505382","USD","0","USD","ftx","706475561-1","","ftx","","2021-10-07T22:00:00.000Z","kr 7,85","2022-03-27T20:43:38.361Z"
"Deposit","699.65","USDT.E","0","","0","","AVAX Transaction","0x7003e12c5eeac62e805b28370c7627801d92651670bfc2d653c5b6ee4114c774-transfer-32199848","","avalanche","","2021-10-07T22:09:29.000Z","kr 6 215,51","2022-05-14T12:42:54.541Z"
"Spend","0","USD","0","AVAX","0.0011752761795","AVAX","AVAX Transaction","0x90537fbe6a4f126af16dd81921926f60ef93fd5aba5953aba73db81efcce24bc","","avalanche","","2021-10-07T22:11:53.000Z","","2022-05-14T12:42:54.540Z"
"Withdrawal","0","","699.65","USDT.E","0.01061908","AVAX","AVAX Transaction","0xa63b14ecb0440653869ace074c0bd9c6c6cc6c48094fb12b3a60be2137a5faf6-transfer-32203047","","avalanche","","2021-10-07T22:14:26.000Z","","2022-05-14T12:42:54.540Z"
"Deposit","11.47391867517418","AVAX","0","","0","","AVAX Transaction","0xa63b14ecb0440653869ace074c0bd9c6c6cc6c48094fb12b3a60be2137a5faf6-avax-transfer-32203052","","avalanche","","2021-10-07T22:14:26.000Z","kr 6 212,02","2022-05-14T12:42:54.540Z"
"Trade","11.4","AVWAVAX","11.4","AVAX","0.0070514","AVAX","Aave","0xbcd9d1c6a328331fefed40ed8754ee8de47709071355ee11ac3c7e07d603af1c","","avalanche","","2021-10-07T22:15:31.000Z","kr 6 172,00","2022-05-14T12:42:54.540Z"
"Borrow","178.862394","USDT.E","179.2164251111386","USD","0.009849975","AVAX","Aave","0xe02e1874e6cb2d17ac5ab561bd9d7da536a3bf15a4cc074bce894dfb18c10d06","","avalanche","","2021-10-07T22:17:13.000Z","kr 1 588,97","2022-05-14T12:42:54.540Z"
"Spend","0","USD","0","AVAX","0.0011804","AVAX","AVAX Transaction","0x6d046f301c719cbb3a3c1a6599109b5277d0dbc61c87486fb01d8026008342fb","","avalanche","","2021-10-07T22:17:57.000Z","","2022-05-14T12:42:54.540Z"
"Deposit","178.5211650957268","AV3CRV","0","","0","","AVAX Transaction","0xcb99457bce95772209a58df7a4e64a70a773aff9097d1c3d3e19cdf2496a7399-transfer-32203678","","avalanche","","2021-10-07T22:18:17.000Z","","2022-05-14T12:42:54.540Z"
"Withdrawal","0","","178.86","USDT.E","0.011339425","AVAX","AVAX Transaction","0xcb99457bce95772209a58df7a4e64a70a773aff9097d1c3d3e19cdf2496a7399-transfer-32203675","","avalanche","","2021-10-07T22:18:17.000Z","","2022-05-14T12:42:54.540Z"
"Spend","0","USD","0","AVAX","0.0011549","AVAX","AVAX Transaction","0xc14870f0acfe3eace4786920084ac6ab35b7e68b20166059e237c5b569fd5d5e","","avalanche","","2021-10-07T22:18:43.000Z","","2022-05-14T12:42:54.540Z"
"Deposit","178.5211650957268","AV3CRV-GAUGE","0","","0","","AVAX Transaction","0x7deec3b83061c697429984197316bc1a76dda942f03868bb5cc02e9a8516c09f-transfer-32204044","","avalanche","","2021-10-07T22:18:59.000Z","","2022-05-14T12:42:54.540Z"
"Withdrawal","0","","178.5211650957268","AV3CRV","0.00397875","AVAX","AVAX Transaction","0x7deec3b83061c697429984197316bc1a76dda942f03868bb5cc02e9a8516c09f-transfer-32204043","","avalanche","","2021-10-07T22:18:59.000Z","","2022-05-14T12:42:54.540Z"
"Trade","0.86332127","USDLOSS","0.86332127","USD","0","USD","ftx","706661395-1","","ftx","","2021-10-07T23:00:00.000Z","kr 7,65","2022-03-27T20:43:38.361Z"
"Trade","0","USD","0.86332127","USDLOSS","0","USD","ftx","706661395-2","","ftx","","2021-10-07T23:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.84195028","USDLOSS","0.84195028","USD","0","USD","ftx","706839222-1","","ftx","","2021-10-08T00:00:00.000Z","kr 7,46","2022-03-27T20:43:38.361Z"
"Trade","0","USD","0.84195028","USDLOSS","0","USD","ftx","706839222-2","","ftx","","2021-10-08T00:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0","USD","1.20736218","USDLOSS","0","USD","ftx","707021126-2","","ftx","","2021-10-08T01:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","1.20736218","USDLOSS","1.20736218","USD","0","USD","ftx","707021126-1","","ftx","","2021-10-08T01:00:00.000Z","kr 10,70","2022-03-27T20:43:38.361Z"
"Trade","0","USD","0.96540875","USDLOSS","0","USD","ftx","707203882-2","","ftx","","2021-10-08T02:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.96540875","USDLOSS","0.96540875","USD","0","USD","ftx","707203882-1","","ftx","","2021-10-08T02:00:00.000Z","kr 8,56","2022-03-27T20:43:38.361Z"
"Trade","0","USD","0.78407837","USDLOSS","0","USD","ftx","707388274-2","","ftx","","2021-10-08T03:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.78407837","USDLOSS","0.78407837","USD","0","USD","ftx","707388274-1","","ftx","","2021-10-08T03:00:00.000Z","kr 6,95","2022-03-27T20:43:38.361Z"
"Trade","1.21058011","USDLOSS","1.21058011","USD","0","USD","ftx","707567969-1","","ftx","","2021-10-08T04:00:00.000Z","kr 10,73","2022-03-27T20:43:38.361Z"
"Trade","0","USD","1.21058011","USDLOSS","0","USD","ftx","707567969-2","","ftx","","2021-10-08T04:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0","USD","1.23972084","USDLOSS","0","USD","ftx","707748960-2","","ftx","","2021-10-08T05:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","1.23972084","USDLOSS","1.23972084","USD","0","USD","ftx","707748960-1","","ftx","","2021-10-08T05:00:00.000Z","kr 10,99","2022-03-27T20:43:38.361Z"
"Trade","1.10014504","USDLOSS","1.10014504","USD","0","USD","ftx","707934619-1","","ftx","","2021-10-08T06:00:00.000Z","kr 9,75","2022-03-27T20:43:38.361Z"
"Trade","0","USD","1.10014504","USDLOSS","0","USD","ftx","707934619-2","","ftx","","2021-10-08T06:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0","USD","1.06937904","USDLOSS","0","USD","ftx","708117305-2","","ftx","","2021-10-08T07:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","1.06937904","USDLOSS","1.06937904","USD","0","USD","ftx","708117305-1","","ftx","","2021-10-08T07:00:00.000Z","kr 9,48","2022-03-27T20:43:38.361Z"
"Trade","0","USD","0.81425174","USDLOSS","0","USD","ftx","708304205-2","","ftx","","2021-10-08T08:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.81425174","USDLOSS","0.81425174","USD","0","USD","ftx","708304205-1","","ftx","","2021-10-08T08:00:00.000Z","kr 7,22","2022-03-27T20:43:38.361Z"
"Trade","0","USD","0.93309902","USDLOSS","0","USD","ftx","708488479-2","","ftx","","2021-10-08T09:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.93309902","USDLOSS","0.93309902","USD","0","USD","ftx","708488479-1","","ftx","","2021-10-08T09:00:00.000Z","kr 8,27","2022-03-27T20:43:38.361Z"
"Trade","0","USD","0.65144677","USDLOSS","0","USD","ftx","708675897-2","","ftx","","2021-10-08T10:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.65144677","USDLOSS","0.65144677","USD","0","USD","ftx","708675897-1","","ftx","","2021-10-08T10:00:00.000Z","kr 5,78","2022-03-27T20:43:38.361Z"
"Trade","0","USD","0.49445082","USDLOSS","0","USD","ftx","708863907-2","","ftx","","2021-10-08T11:00:00.000Z","","2022-03-27T20:43:38.361Z"
"Trade","0.49445082","USDLOSS","0.49445082","USD","0","USD","ftx","708863907-1","","ftx","","2021-10-08T11:00:00.000Z","kr 4,38","2022-03-27T20:43:38.361Z"
